,주소,위도,경도
215,서울특별시 중구 덕수궁길 15시청서소문별관 3동,37.5643375,126.973426
216,서울시 송파구 백제고분로 236(삼전동 주민센터),37.5026836,127.090327
217,대전 유성구 노은동로 87번길 89(노은1동 주민센터)노은1동 주민센터 3층 옥상,36.3682419,127.3163088
218,대전 서구 월평동160-5도로변(월평자동차종합시장앞),36.3489949,127.3520837
219,대구 서구 이현동 48-60 (중리초등학교)(국채보상로 135)중리초등학교,35.8695184,128.5432891
220,경북 포항시 남구 대송면 철강산단로130번길 293공단 배수지,35.9615443,129.3652056
221,경기 과천시 코오롱로 53문원초등학교,37.4236081,126.9922832
222,충남 부여군 부여읍 사비로 36(부여읍행정복지센터 옥상),36.2754946,126.9091085
223,충남 예산군 예산읍 주교로64 (예산군청 별관 옥상),36.686711,126.8297753
224,인천광역시 연수구 갯벌로 12테크노파크 3층 옥상,37.382121,126.6524148
225,경기 고양시 일산서구 주엽로 104주엽어린이도서관,37.6682788,126.7542146
226,부산광역시 부산진구 개금온정로17번길 51개금3동 어린이놀이터 지상 (개금동),35.1552024,129.0204962
227,전북 군산시 개정동 507-24 개정동주민센터 2층옥상,35.9642919,126.7524031
228,인천 서구 거북로 116(석남동)석남2동 행정복지센터 옥상,37.5026206,126.6724234
229,서울 서대문구 세검정로4길 32(홍제3동 주민센터),37.5937254,126.9475606
230,경기 화성시 남양읍 남양성지로 192-5남양읍행정복지센터,37.2117634,126.8215835
231,경기 군포시 청백리길 6군포시청 별관,37.3613945,126.9330492
232,대구 달서구 이곡동1258-2,35.8512041,128.5093405
233,인천 서구 크리스탈로 131수질정화시설관리동 2층 옥상,37.5377453,126.6366017
234,강원 화천군 화천읍 화천새싹길 45건설방재과 옥상,38.1062848,127.7059421
235,"충북 단양군 매포읍 평동리 1274(평동33길 3),(매포 보건지소 마당)매포보건지소 지상",37.0331794,128.293613
236,울산 울주군 온산읍 명봉거남로 2남부종합사회복지관 옥상,35.4347233,129.3120068
237,서울 영등포구 양산로23길 11당산1동 주민센터,37.524955,126.8951513
238,서울시 성동구 뚝섬로3길 18성수1가1동주민센터,37.5420391,127.0474968
