,주소,위도,경도,지역,시군,ID
196,인천광역시 미추홀구 독정안길 26용정초등학교,37.4597088,126.65542620000001,인천,남구,인천 남구
197,울산 북구 염포로 290효문배수펌프장 옥상,35.560309100000005,129.3687104,울산,북구,울산 북구
198,서울 용산구 한강대로 405(서울역 앞),37.551888399999996,126.96661840000002,서울,용산,서울 용산
199,서울 성북구 삼양로2길 70길음2동 주민센터,37.6067725,127.02516840000001,서울,성북,서울 성북
200,서울 노원구 상계로 118상계2동 주민센터 (23길 17 노원구 원터행복발전소),37.6574151,127.06568759999999,서울,노원,서울 노원
201,부산 사하구 장림로 161번길 2장림1동주민센터 옥상,35.0830639,128.9647156,부산,사하,부산 사하
202,부산 동구 중앙대로349번길 14부산진역 1번 출구(윤흥신장군 동상옆),35.12698220000001,129.0440845,부산,동구,부산 동구
203,대구 수성구 만촌2동 934 (동원초등학교)(국채보상로 1000)동원초등학교,35.8652429,128.6378636,대구,수성,대구 수성
204,경북 포항시 남구 대도동 111-6(상대2동주민센터)상대2동주민센터,36.0139951,129.3548733,경북,포항,포항 남구
205,경기 의정부시 범골로 138경기도도로사업소,37.735543,127.03860320000001,경기,의정부,의정부
206,경기 의정부시 가능로152번길 14의정부1동 주민센터,37.7463752,127.0456022,경기,의정부,의정부
207,경기 연천군 연천읍 차현로 58연천군청 지역경제과,38.096409200000004,127.0728679,경기,연천,연천
208,강원 원주시 충정길 12(학성동 206-6)중앙동주민센터 3층 옥상,37.35378370000001,127.94241240000001,강원,원주,원주
209,충남 아산시 배방읍 배방로 38배방읍사무소 옥상,36.7738004,127.05166259999999,충남,아산,아산
210,세종 누리로 27첫마을 6단지 관리사무소 옥상,36.7738004,127.05166259999999,세종,세종,세종
211,경기 부천시 송내대로 262계남공원,37.506288,126.7571818,경기,부천,부천 송내대
212,경북 상주시 북천로 63북문동주민센터,36.4255416,128.1522995,경북,상주,상주
213,충남 태안군 소원면 파도길51-19,36.736315600000005,126.129979,충남,태안,태안
214,인천 중구 서해대로 471(신흥동 2가)인천보건환경연구원 옥상,37.4680945,126.63290570000001,인천,중구,인천 중구
215,서울특별시 중구 덕수궁길 15시청서소문별관 3동,37.5643375,126.973426,서울,중구,서울 중구
216,서울시 송파구 백제고분로 236(삼전동 주민센터),37.502683600000005,127.090327,서울,송파,서울 송파
217,대전 유성구 노은동로 87번길 89(노은1동 주민센터)노은1동 주민센터 3층 옥상,36.3682419,127.3163088,대전,유성,대전 유성
218,대전 서구 월평동160-5도로변(월평자동차종합시장앞),36.348994899999994,127.35208370000001,대전,서구,대전 서구
219,대구 서구 이현동 48-60 (중리초등학교)(국채보상로 135)중리초등학교,35.869518400000004,128.54328909999998,대구,서구,대구 서구
220,경북 포항시 남구 대송면 철강산단로130번길 293공단 배수지,35.9615443,129.3652056,경북,포항,포항 남구
221,경기 과천시 코오롱로 53문원초등학교,37.4236081,126.99228319999999,경기,과천,과천
222,충남 부여군 부여읍 사비로 36(부여읍행정복지센터 옥상),36.2754946,126.9091085,충남,부여,부여
223,충남 예산군 예산읍 주교로64 (예산군청 별관 옥상),36.686710999999995,126.82977530000001,충남,예산,예산
224,인천광역시 연수구 갯벌로 12테크노파크 3층 옥상,37.382121000000005,126.6524148,인천,연수,인천 연수
225,경기 고양시 일산서구 주엽로 104주엽어린이도서관,37.668278799999996,126.7542146,경기,고양,고양 일산서
226,부산광역시 부산진구 개금온정로17번길 51개금3동 어린이놀이터 지상 (개금동),35.1552024,129.0204962,부산,부산진,부산 부산진
227,전북 군산시 개정동 507-24 개정동주민센터 2층옥상,35.9642919,126.7524031,전북,군산,군산
228,인천 서구 거북로 116(석남동)석남2동 행정복지센터 옥상,37.5026206,126.67242340000001,인천,서구,인천 서구
229,서울 서대문구 세검정로4길 32(홍제3동 주민센터),37.5937254,126.94756059999999,서울,서대문,서울 서대문
230,경기 화성시 남양읍 남양성지로 192-5남양읍행정복지센터,37.211763399999995,126.8215835,경기,화성,화성
231,경기 군포시 청백리길 6군포시청 별관,37.3613945,126.93304920000001,경기,군포,군포
232,대구 달서구 이곡동1258-2,35.851204100000004,128.5093405,대구,달서,대구 달서
233,인천 서구 크리스탈로 131수질정화시설관리동 2층 옥상,37.5377453,126.6366017,인천,서구,인천 서구
234,강원 화천군 화천읍 화천새싹길 45건설방재과 옥상,38.1062848,127.70594209999999,강원,화천,화천
235,"충북 단양군 매포읍 평동리 1274(평동33길 3),(매포 보건지소 마당)매포보건지소 지상",37.0331794,128.293613,충북,단양,단양
236,울산 울주군 온산읍 명봉거남로 2남부종합사회복지관 옥상,35.434723299999995,129.3120068,울산,울주,울산 울주
237,서울 영등포구 양산로23길 11당산1동 주민센터,37.524955,126.89515130000001,서울,영등포,서울 영등포
238,서울시 성동구 뚝섬로3길 18성수1가1동주민센터,37.542039100000004,127.04749679999999,서울,성동,서울 성동
239,서울 마포구 포은로 6길 10망원1동주민센터 옥상,37.5555904,126.9033715,서울,마포,서울 마포
240,경남 창원시 의창구 대산면 갈전로99번길 100,35.3730532,128.6735097,경남,창원,창원 의창
241,부산광역시 사상구 삼덕로 83덕포초등학교 운동장 북서쪽 화단 (덕포동),35.173887,128.9837608,부산,사상,부산 사상
242,인천광역시 동구 수문통로 77송현도로변측정소,37.482121,126.6347939,인천,동구,인천 동구
243,인천 미추홀구 주안6동1587(석바위 삼거리),37.4576784,126.69019809999999,인천,남구,인천 남구
244,울산 울주군 청량면 신덕하3길 5청량면사무소 옥상,35.4931477,129.3037439,울산,울주,울산 울주
245,대구 수성구 지산동 761-11(한국환경공단) (무학로 209)한국환경공단,35.830469799999996,128.6293659,대구,수성,대구 수성
246,경남 진주시 동진로 279(한국전력공사 진주지점),35.180614,128.1196348,경남,진주,진주
